Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average
Blood Bowl (Third Edition),1994,2,2,180,12,5267,7
Shadows of Brimstone: City of the Ancients,2014,1,4,120,12,3401,7
Forbidden Desert,2013,2,5,45,10,25599,7
Raptor,2015,2,2,30,9,7897,7
Point Salad,2019,2,6,30,8,8042,7
Mansions of Madness,2011,2,5,180,13,12747,7
Madeira,2013,2,4,150,12,3910,7
Labyrinth: The War on Terror,,,,,,,
Mystic Vale,2016,2,4,45,14,8975,7
PitchCar,1995,2,8,30,6,9645,7
Deus,2014,2,4,90,14,7293,7
Camel Up (Second Edition),2018,3,8,45,8,3744,7
London,2010,2,4,90,13,6281,7
Colt Express,2014,2,6,40,10,24739,7
Archipelago,2012,2,5,240,14,7373,7
Hanabi,2010,2,5,25,8,38927,7
Schotten Totten,1999,2,2,20,8,7624,7
Catan,1995,3,4,120,10,101510,7
Legends of Andor,2012,2,4,90,10,15017,7
First Class: All Aboard the Orient Express!,2016,2,4,80,10,4843,7
Dice Throne: Season Two - Battle Chest,2018,2,6,40,8,2237,8
Sentinels of the Multiverse,2011,2,5,60,8,14766,7
Freedom: The Underground Railroad,2012,1,4,120,13,3875,7
Roads & Boats,1999,1,4,240,14,3079,7
Small World Underground,2011,2,5,90,8,9799,7
Citadels,2000,2,8,60,10,48360,7
The Grizzled,2015,2,5,30,14,12228,7
Shadows over Camelot,2005,3,7,80,10,25447,7
Euphoria: Build a Better Dystopia,2013,2,6,60,13,9358,7
Egizia,2009,2,4,90,12,5134,7
Imhotep,2016,2,4,40,10,11784,7
Lords of Vegas,2010,2,4,90,12,6546,7
Ginkgopolis,2012,1,5,45,13,4991,7
Friday,2011,1,1,25,13,16501,7
One Night Ultimate Werewolf,2014,3,10,10,8,21482,7
Junk Art,2016,2,6,30,8,5449,7
Time's Up! Title Recall!,2008,4,18,60,12,3122,7
Fire in the Lake,2014,1,4,180,0,2258,8
Imperial Settlers: Empires of the North,2019,1,4,90,10,3885,7
The Fox in the Forest,2017,2,2,30,10,8895,7
Betrayal Legacy,2018,3,5,90,12,3180,7
Libertalia,2012,2,6,60,14,12435,7
Stuffed Fables,2018,2,4,90,7,4451,7
Airlines Europe,2011,2,5,75,10,6825,7
Aeon's End: The New Age,2019,1,4,60,14,1383,8
Vinhos,2010,2,4,135,12,4447,7
Elysium,2015,2,4,60,14,8502,7
Ingenious,2004,1,4,45,10,15633,7
Thurn and Taxis,2006,2,4,60,10,18128,7
KeyForge: Call of the Archons,2018,2,2,45,14,9343,7
TZAAR,2007,2,2,60,13,3223,7
The Colonists,2016,1,4,360,12,3406,7
Pipeline,2019,2,4,120,12,3006,7
Photosynthesis,2017,2,4,60,10,16757,7
Tales of the Arabian Nights,2009,1,6,120,12,11581,7
Vikings,2007,2,4,60,10,7935,7
Queendomino,2017,2,4,25,8,8016,7
Chess,1475,2,2,60,6,28745,7
Argent: The Consortium,2015,2,5,150,10,3170,7
Exit: The Game - Dead Man on the Orient Express,2017,1,4,90,12,3024,7
Potion Explosion,2015,2,4,45,8,13444,7
Pathfinder Adventure Card Game: Rise of the Runelords - Base Set,2013,1,4,90,13,12022,7
RoboRally,1994,2,8,120,12,22465,7
Taj Mahal,2000,3,5,100,12,7087,7
Last Will,2011,2,5,75,14,9043,7
Escape Plan,2019,1,5,120,12,3522,7
Sushi Go!,2013,2,5,15,8,34794,7
Runebound (Third Edition),2015,2,4,180,14,4988,7
Star Wars: X-Wing Miniatures Game - The Force Awakens Core Set,2015,2,2,45,14,2814,7
